,Experience,Qualifications,Salary Range,Country,Work Type,Company Size,Preference,Job Title,Role,Job Description,skills,Responsibilities
10,0 to 15 Years,PhD,$55K-$86K,Rwanda,Intern,57416,Both,Account Manager,Client Relationship Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",Client relationship management Customer service Communication skills,Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication.
11,5 to 15 Years,BBA,$55K-$117K,Virgin Islands (U.S.),Contract,114836,Both,Account Manager,Client Relationship Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",Client relationship management Customer service Communication skills,Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication.
12,0 to 12 Years,B.Com,$65K-$126K,Paraguay,Intern,113823,Female,Account Manager,Client Relationship Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",Client relationship management Customer service Communication skills,Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication.
13,0 to 10 Years,M.Tech,$63K-$88K,North Korea,Temporary,90269,Both,Account Manager,Sales Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",Account management Sales strategy Negotiation and closing skills,Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts.
14,1 to 12 Years,MCA,$62K-$92K,Cambodia,Part-Time,82195,Male,Account Manager,Sales Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",Account management Sales strategy Negotiation and closing skills,Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts.
15,4 to 15 Years,M.Tech,$62K-$84K,Israel,Full-Time,119862,Male,Accountant,Tax Accountant,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies.",Tax preparation Tax planning Tax regulations Accounting Tax software proficiency,"Prepare and file tax returns, provide tax planning advice, and address tax-related issues. Stay up-to-date on tax laws and regulations. Assist clients with tax compliance and planning."
16,2 to 12 Years,MBA,$57K-$92K,Colombia,Temporary,88838,Male,Accountant,Forensic Accountant,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud.",Forensic accounting Fraud detection Legal knowledge Investigative skills,"Investigate financial discrepancies, analyze financial data for fraud, and provide expert testimony in legal cases. Perform forensic audits and fraud detection. Collaborate with law enforcement and legal teams."
17,3 to 9 Years,B.Com,$60K-$122K,Isle of Man,Temporary,50379,Both,Accountant,Financial Accountant,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization.","Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge","Maintain financial records, prepare financial statements, and ensure compliance with accounting standards and regulations. Reconcile accounts and analyze financial data. Assist with financial audits."
18,5 to 15 Years,B.Tech,$64K-$101K,Kuwait,Part-Time,14586,Male,Accountant,Forensic Accountant,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud.",Forensic accounting Fraud detection Legal knowledge Investigative skills,"Investigate financial discrepancies, analyze financial data for fraud, and provide expert testimony in legal cases. Perform forensic audits and fraud detection. Collaborate with law enforcement and legal teams."
19,1 to 11 Years,MBA,$57K-$121K,Rwanda,Intern,36393,Female,Accountant,Forensic Accountant,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud.",Forensic accounting Fraud detection Legal knowledge Investigative skills,"Investigate financial discrepancies, analyze financial data for fraud, and provide expert testimony in legal cases. Perform forensic audits and fraud detection. Collaborate with law enforcement and legal teams."
20,1 to 12 Years,M.Com,$64K-$105K,Israel,Temporary,102791,Both,Administrative Assistant,Executive Assistant,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.","Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)","Provide high-level administrative support to executives, including managing schedules and communications. Coordinate meetings and travel arrangements. Handle confidential information with discretion."
21,0 to 9 Years,MBA,$63K-$84K,Kyrgyz Republic,Intern,40468,Female,Administrative Assistant,Executive Assistant,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.","Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)","Provide high-level administrative support to executives, including managing schedules and communications. Coordinate meetings and travel arrangements. Handle confidential information with discretion."
22,3 to 9 Years,BA,$55K-$97K,Bosnia and Herzegovina,Full-Time,114439,Both,Administrative Assistant,Executive Assistant,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.","Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)","Provide high-level administrative support to executives, including managing schedules and communications. Coordinate meetings and travel arrangements. Handle confidential information with discretion."
23,4 to 10 Years,MBA,$59K-$120K,Virgin Islands (U.S.),Intern,47152,Both,Administrative Assistant,Executive Assistant,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.","Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)","Provide high-level administrative support to executives, including managing schedules and communications. Coordinate meetings and travel arrangements. Handle confidential information with discretion."
24,4 to 13 Years,B.Com,$65K-$119K,"Hong Kong SAR, China",Full-Time,110823,Male,Administrative Assistant,Executive Assistant,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.","Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)","Provide high-level administrative support to executives, including managing schedules and communications. Coordinate meetings and travel arrangements. Handle confidential information with discretion."
25,0 to 10 Years,M.Com,$63K-$99K,Serbia,Intern,62205,Both,Aerospace Engineer,Systems Engineer,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams.
26,3 to 9 Years,B.Tech,$61K-$103K,"Hong Kong SAR, China",Intern,31305,Male,Aerospace Engineer,Avionics Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.",Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation,"Specialize in avionics systems, including navigation and communication systems. Develop avionics software and ensure system functionality. Perform system testing and troubleshooting."
27,5 to 10 Years,M.Com,$57K-$108K,Lesotho,Full-Time,73725,Male,Aerospace Engineer,Avionics Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.",Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation,"Specialize in avionics systems, including navigation and communication systems. Develop avionics software and ensure system functionality. Perform system testing and troubleshooting."
28,3 to 11 Years,M.Tech,$56K-$115K,Solomon Islands,Contract,17843,Both,Aerospace Engineer,Avionics Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.",Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation,"Specialize in avionics systems, including navigation and communication systems. Develop avionics software and ensure system functionality. Perform system testing and troubleshooting."
29,4 to 13 Years,BBA,$60K-$127K,UAE,Temporary,105589,Female,Aerospace Engineer,Systems Engineer,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams.
30,5 to 13 Years,PhD,$58K-$103K,St. Vincent and the Grenadines,Full-Time,37277,Male,Architect,Project Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.",Architectural project management Construction documents Building systems Design coordination Client communication,"Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets."
31,1 to 14 Years,BA,$61K-$122K,Liechtenstein,Temporary,69750,Male,Architect,Architectural Designer,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations.
32,1 to 13 Years,MBA,$62K-$92K,Isle of Man,Full-Time,78560,Male,Architect,Sustainable Design Specialist,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.",Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.
33,3 to 15 Years,PhD,$57K-$86K,Chad,Temporary,43956,Female,Architect,Architectural Designer,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations.
34,4 to 9 Years,B.Com,$56K-$85K,Trinidad and Tobago,Contract,113493,Female,Architect,Sustainable Design Specialist,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.",Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.
35,0 to 14 Years,M.Com,$57K-$126K,Dominica,Part-Time,51900,Female,Architectural Designer,Interior Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
36,1 to 9 Years,PhD,$65K-$114K,"Macao SAR, China",Temporary,38856,Female,Architectural Designer,Architectural Drafter,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Prepare detailed architectural drawings and plans using computer-aided design (CAD) software. Assist architects in project documentation and coordination. Ensure compliance with building codes and regulations.
37,1 to 13 Years,MBA,$59K-$108K,Pakistan,Contract,76526,Male,Architectural Designer,Interior Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
38,0 to 9 Years,BBA,$63K-$105K,"Venezuela, RB",Full-Time,98152,Female,Architectural Designer,Architectural Drafter,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Prepare detailed architectural drawings and plans using computer-aided design (CAD) software. Assist architects in project documentation and coordination. Ensure compliance with building codes and regulations.
39,2 to 8 Years,B.Tech,$65K-$81K,West Bank and Gaza,Part-Time,69923,Both,Architectural Designer,Interior Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
40,2 to 9 Years,M.Com,$58K-$115K,Georgia,Temporary,125534,Both,Art Director,Art Curator,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.",Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,"Curate and manage art collections, exhibitions, and galleries. Research and select artworks for display. Collaborate with artists, collectors, and institutions."
41,5 to 13 Years,B.Tech,$58K-$109K,Spain,Contract,41045,Female,Art Director,Art Curator,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.",Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,"Curate and manage art collections, exhibitions, and galleries. Research and select artworks for display. Collaborate with artists, collectors, and institutions."
42,5 to 13 Years,B.Com,$59K-$127K,Cyprus,Contract,78665,Male,Art Director,Creative Director,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality.",Creative leadership Art direction Concept development Visual design Advertising and marketing expertise,"Lead and oversee creative teams, including graphic designers and copywriters. Develop and maintain the artistic and creative direction of projects. Ensure brand consistency and visual identity in all creative materials."
43,5 to 15 Years,B.Tech,$60K-$84K,Mali,Full-Time,102689,Both,Art Director,Visual Designer,"Visual Designers create visual content, including graphics, illustrations, and layouts, to convey messages and enhance brand identity.",Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation,"Create visual concepts and designs for various media, such as print, digital, and advertising campaigns. Use graphic design software and tools to produce high-quality visuals. Collaborate with art and design teams to execute projects."
44,2 to 12 Years,B.Tech,$63K-$84K,Jordan,Part-Time,125384,Male,Art Director,Visual Designer,"Visual Designers create visual content, including graphics, illustrations, and layouts, to convey messages and enhance brand identity.",Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation,"Create visual concepts and designs for various media, such as print, digital, and advertising campaigns. Use graphic design software and tools to produce high-quality visuals. Collaborate with art and design teams to execute projects."
45,3 to 9 Years,M.Com,$65K-$105K,Belarus,Intern,59109,Male,Art Teacher,Art Education Coordinator,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.",Art education curriculum Program development Teacher training Communication skills Artistic expertise,"Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases."
46,5 to 10 Years,M.Tech,$64K-$86K,Niger,Contract,129803,Female,Art Teacher,Studio Art Teacher,"A Studio Art Teacher instructs students in studio art practices, providing hands-on guidance in creating art and fostering artistic expression and skill development.",Art instruction Classroom management Art techniques Lesson planning Student assessment,Focus on specific art mediums or techniques in a studio environment. Provide hands-on instruction and guidance. Encourage students to explore and refine their artistic skills.
47,2 to 15 Years,M.Tech,$61K-$96K,Vietnam,Full-Time,31124,Female,Art Teacher,Art Education Coordinator,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.",Art education curriculum Program development Teacher training Communication skills Artistic expertise,"Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases."
48,4 to 11 Years,B.Com,$57K-$125K,Samoa,Part-Time,13875,Both,Art Teacher,Studio Art Teacher,"A Studio Art Teacher instructs students in studio art practices, providing hands-on guidance in creating art and fostering artistic expression and skill development.",Art instruction Classroom management Art techniques Lesson planning Student assessment,Focus on specific art mediums or techniques in a studio environment. Provide hands-on instruction and guidance. Encourage students to explore and refine their artistic skills.
49,2 to 11 Years,M.Tech,$62K-$119K,French Polynesia,Full-Time,101575,Male,Art Teacher,Studio Art Teacher,"A Studio Art Teacher instructs students in studio art practices, providing hands-on guidance in creating art and fostering artistic expression and skill development.",Art instruction Classroom management Art techniques Lesson planning Student assessment,Focus on specific art mediums or techniques in a studio environment. Provide hands-on instruction and guidance. Encourage students to explore and refine their artistic skills.
50,4 to 13 Years,BCA,$57K-$117K,Andorra,Part-Time,40846,Male,Back-End Developer,API Developer,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Design and implement APIs (Application Programming Interfaces) for data communication between different software systems. Ensure API security and compatibility. Document API usage and specifications.
51,4 to 15 Years,MCA,$59K-$120K,Kiribati,Temporary,25364,Both,Back-End Developer,API Developer,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Design and implement APIs (Application Programming Interfaces) for data communication between different software systems. Ensure API security and compatibility. Document API usage and specifications.
52,1 to 12 Years,MCA,$56K-$120K,Germany,Intern,41625,Female,Back-End Developer,API Developer,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Design and implement APIs (Application Programming Interfaces) for data communication between different software systems. Ensure API security and compatibility. Document API usage and specifications.
53,4 to 14 Years,B.Com,$65K-$89K,St. Vincent and the Grenadines,Temporary,104568,Female,Back-End Developer,API Developer,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Design and implement APIs (Application Programming Interfaces) for data communication between different software systems. Ensure API security and compatibility. Document API usage and specifications.
54,5 to 12 Years,BCA,$58K-$110K,Ukraine,Intern,27387,Male,Back-End Developer,Server Developer,"A Server Developer specializes in developing and maintaining server-side applications and systems, ensuring efficient data processing and server functionality.","Server-side programming languages (e.g., Java, Python) Database management API development",Develop and maintain server-side logic and databases for web applications. Optimize server performance and scalability. Collaborate with front-end developers to integrate user interfaces.
55,4 to 12 Years,BA,$55K-$81K,Guinea,Part-Time,134180,Female,Brand Ambassador,Product Demonstrator,"Product Demonstrators showcase products to potential customers. They explain features, answer questions, and help customers make informed purchase decisions.",Product knowledge Demonstrating skills Sales techniques Customer engagement Communication skills,Demonstrate and showcase products at retail locations or events. Highlight product features and benefits to attract potential customers. Answer questions and encourage product trials.
56,5 to 8 Years,MCA,$64K-$124K,Australia,Contract,82736,Female,Brand Ambassador,Social Media Influencer,Social Media Influencers use their online presence to promote brands or products. They create engaging content and collaborate with companies to reach a wider audience.,Social media management Content creation Audience engagement Marketing strategy Communication skills,Build and maintain a strong social media presence and following. Create and share content related to the brand. Collaborate with brands for sponsored posts and partnerships.
57,0 to 14 Years,MCA,$63K-$91K,Spain,Part-Time,129859,Both,Brand Ambassador,Product Demonstrator,"Product Demonstrators showcase products to potential customers. They explain features, answer questions, and help customers make informed purchase decisions.",Product knowledge Demonstrating skills Sales techniques Customer engagement Communication skills,Demonstrate and showcase products at retail locations or events. Highlight product features and benefits to attract potential customers. Answer questions and encourage product trials.
58,1 to 8 Years,BCA,$55K-$118K,Moldova,Full-Time,123884,Both,Brand Ambassador,Social Media Influencer,Social Media Influencers use their online presence to promote brands or products. They create engaging content and collaborate with companies to reach a wider audience.,Social media management Content creation Audience engagement Marketing strategy Communication skills,Build and maintain a strong social media presence and following. Create and share content related to the brand. Collaborate with brands for sponsored posts and partnerships.
59,5 to 10 Years,MCA,$58K-$126K,Serbia,Part-Time,81826,Female,Brand Ambassador,Social Media Influencer,Social Media Influencers use their online presence to promote brands or products. They create engaging content and collaborate with companies to reach a wider audience.,Social media management Content creation Audience engagement Marketing strategy Communication skills,Build and maintain a strong social media presence and following. Create and share content related to the brand. Collaborate with brands for sponsored posts and partnerships.
60,1 to 12 Years,M.Com,$57K-$93K,Cayman Islands,Intern,104781,Both,Brand Manager,Brand Marketing Analyst,A Brand Marketing Analyst analyzes market data and consumer behavior to assess the effectiveness of branding strategies. They provide insights to improve brand marketing efforts.,"Marketing analytics Data analysis tools (e.g., Google Analytics, Adobe Analytics) Brand performance measurement Consumer behavior analysis Campaign effectiveness evaluation",Analyze brand performance metrics and consumer behavior. Track marketing campaigns and assess their impact on brand perception. Provide insights and recommendations for brand improvement.
61,5 to 13 Years,M.Tech,$56K-$81K,Barbados,Intern,80185,Both,Brand Manager,Brand Strategist,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,"Develop brand strategies, positioning, and messaging to drive brand awareness and loyalty. Conduct market research and competitor analysis. Collaborate with creative teams on branding materials."
62,4 to 12 Years,B.Tech,$65K-$129K,Trinidad and Tobago,Part-Time,125639,Male,Brand Manager,Brand Strategist,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,"Develop brand strategies, positioning, and messaging to drive brand awareness and loyalty. Conduct market research and competitor analysis. Collaborate with creative teams on branding materials."
63,3 to 14 Years,MBA,$64K-$82K,Azerbaijan,Full-Time,18825,Female,Brand Manager,Brand Strategist,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,"Develop brand strategies, positioning, and messaging to drive brand awareness and loyalty. Conduct market research and competitor analysis. Collaborate with creative teams on branding materials."
64,2 to 10 Years,MCA,$63K-$101K,Ireland,Temporary,129658,Both,Brand Manager,Product Brand Manager,A Product Brand Manager focuses on promoting and managing the brand identity of specific products or product lines within a companys portfolio.,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting,Manage the branding of specific products or product lines. Create product launch plans and marketing campaigns. Ensure consistent product messaging and brand representation.
65,4 to 9 Years,BCA,$58K-$107K,Israel,Contract,34150,Male,Business Analyst,IT Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills,"Analyze business processes, gather requirements, and recommend solutions to enhance efficiency and productivity. Create business process models and documentation. Collaborate with IT teams to implement solutions."
66,4 to 14 Years,MCA,$65K-$94K,Denmark,Full-Time,15212,Female,Business Analyst,Data Business Analyst,"Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.","Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)","Focus on data analysis, data modeling, and data visualization to support business decision-making. Develop and maintain data dictionaries and metadata. Collaborate with data engineers and analysts."
67,5 to 9 Years,BA,$63K-$94K,Seychelles,Part-Time,120296,Female,Business Analyst,IT Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills,"Analyze business processes, gather requirements, and recommend solutions to enhance efficiency and productivity. Create business process models and documentation. Collaborate with IT teams to implement solutions."
68,4 to 15 Years,M.Tech,$62K-$112K,South Africa,Full-Time,117618,Female,Business Analyst,IT Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills,"Analyze business processes, gather requirements, and recommend solutions to enhance efficiency and productivity. Create business process models and documentation. Collaborate with IT teams to implement solutions."
